Campaign,Ad Group,Keyword,Criterion Type
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel data science,Exact
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel data science,Phrase
SEM_Instructors,Mine Cetinkaya-Rundel,+mine +cetinkaya-rundel +data science,Broad
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel data camp,Exact
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel data camp,Phrase
SEM_Instructors,Mine Cetinkaya-Rundel,+mine +cetinkaya-rundel +data camp,Broad
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel datacamp,Exact
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel datacamp,Phrase
SEM_Instructors,Mine Cetinkaya-Rundel,+mine +cetinkaya-rundel +datacamp,Broad
SEM_Instructors,Ted Kwartler,ted kwartler course,Exact
SEM_Instructors,Ted Kwartler,ted kwartler course,Phrase
SEM_Instructors,Ted Kwartler,+ted +kwartler +course,Broad
SEM_Instructors,Ted Kwartler,ted kwartler courses,Exact
SEM_Instructors,Ted Kwartler,ted kwartler courses,Phrase
SEM_Instructors,Ted Kwartler,+ted +kwartler +courses,Broad
SEM_Instructors,Ted Kwartler,ted kwartler learn,Exact
SEM_Instructors,Ted Kwartler,ted kwartler learn,Phrase
SEM_Instructors,Ted Kwartler,+ted +kwartler +learn,Broad
SEM_Instructors,Ted Kwartler,ted kwartler data science,Exact
SEM_Instructors,Ted Kwartler,ted kwartler data science,Phrase
SEM_Instructors,Ted Kwartler,+ted +kwartler +data science,Broad
SEM_Instructors,Ted Kwartler,ted kwartler data camp,Exact
SEM_Instructors,Ted Kwartler,ted kwartler data camp,Phrase
SEM_Instructors,Ted Kwartler,+ted +kwartler +data camp,Broad
SEM_Instructors,Ted Kwartler,ted kwartler datacamp,Exact
SEM_Instructors,Ted Kwartler,ted kwartler datacamp,Phrase
SEM_Instructors,Ted Kwartler,+ted +kwartler +datacamp,Broad
SEM_Instructors,Hadley Wickham,hadley wickham course,Exact
SEM_Instructors,Hadley Wickham,hadley wickham course,Phrase
SEM_Instructors,Hadley Wickham,+hadley +wickham +course,Broad
SEM_Instructors,Hadley Wickham,hadley wickham courses,Exact
SEM_Instructors,Hadley Wickham,hadley wickham courses,Phrase
SEM_Instructors,Hadley Wickham,+hadley +wickham +courses,Broad
SEM_Instructors,Hadley Wickham,hadley wickham learn,Exact
SEM_Instructors,Hadley Wickham,hadley wickham learn,Phrase
SEM_Instructors,Hadley Wickham,+hadley +wickham +learn,Broad
SEM_Instructors,Hadley Wickham,hadley wickham data science,Exact
SEM_Instructors,Hadley Wickham,hadley wickham data science,Phrase
SEM_Instructors,Hadley Wickham,+hadley +wickham +data science,Broad
SEM_Instructors,Hadley Wickham,hadley wickham data camp,Exact
SEM_Instructors,Hadley Wickham,hadley wickham data camp,Phrase
SEM_Instructors,Hadley Wickham,+hadley +wickham +data camp,Broad
SEM_Instructors,Hadley Wickham,hadley wickham datacamp,Exact
SEM_Instructors,Hadley Wickham,hadley wickham datacamp,Phrase
SEM_Instructors,Hadley Wickham,+hadley +wickham +datacamp,Broad
SEM_Instructors,Jason Myers,jason myers course,Exact
SEM_Instructors,Jason Myers,jason myers course,Phrase
SEM_Instructors,Jason Myers,+jason +myers +course,Broad
SEM_Instructors,Jason Myers,jason myers courses,Exact
SEM_Instructors,Jason Myers,jason myers courses,Phrase
SEM_Instructors,Jason Myers,+jason +myers +courses,Broad
SEM_Instructors,Jason Myers,jason myers learn,Exact
SEM_Instructors,Jason Myers,jason myers learn,Phrase
SEM_Instructors,Jason Myers,+jason +myers +learn,Broad
SEM_Instructors,Jason Myers,jason myers data science,Exact
SEM_Instructors,Jason Myers,jason myers data science,Phrase
SEM_Instructors,Jason Myers,+jason +myers +data science,Broad
SEM_Instructors,Jason Myers,jason myers data camp,Exact
SEM_Instructors,Jason Myers,jason myers data camp,Phrase
SEM_Instructors,Jason Myers,+jason +myers +data camp,Broad
SEM_Instructors,Jason Myers,jason myers datacamp,Exact
SEM_Instructors,Jason Myers,jason myers datacamp,Phrase
SEM_Instructors,Jason Myers,+jason +myers +datacamp,Broad
SEM_Instructors,Stefan Jansen,stefan jansen course,Exact
SEM_Instructors,Stefan Jansen,stefan jansen course,Phrase
SEM_Instructors,Stefan Jansen,+stefan +jansen +course,Broad
SEM_Instructors,Stefan Jansen,stefan jansen courses,Exact
SEM_Instructors,Stefan Jansen,stefan jansen courses,Phrase
SEM_Instructors,Stefan Jansen,+stefan +jansen +courses,Broad
SEM_Instructors,Stefan Jansen,stefan jansen learn,Exact
SEM_Instructors,Stefan Jansen,stefan jansen learn,Phrase
SEM_Instructors,Stefan Jansen,+stefan +jansen +learn,Broad
SEM_Instructors,Stefan Jansen,stefan jansen data science,Exact
SEM_Instructors,Stefan Jansen,stefan jansen data science,Phrase
SEM_Instructors,Stefan Jansen,+stefan +jansen +data science,Broad
SEM_Instructors,Stefan Jansen,stefan jansen data camp,Exact
SEM_Instructors,Stefan Jansen,stefan jansen data camp,Phrase
SEM_Instructors,Stefan Jansen,+stefan +jansen +data camp,Broad
SEM_Instructors,Stefan Jansen,stefan jansen datacamp,Exact
SEM_Instructors,Stefan Jansen,stefan jansen datacamp,Phrase
SEM_Instructors,Stefan Jansen,+stefan +jansen +datacamp,Broad
SEM_Instructors,Brett Lantz,brett lantz course,Exact
SEM_Instructors,Brett Lantz,brett lantz course,Phrase
SEM_Instructors,Brett Lantz,+brett +lantz +course,Broad
SEM_Instructors,Brett Lantz,brett lantz courses,Exact
SEM_Instructors,Brett Lantz,brett lantz courses,Phrase
